,m01ab
0,m01ab
1,0
2,8
3,2
4,4
5,5
6,0
7,5.33
8,7
9,5
10,5
11,2
12,7.34
13,6
14,4
15,6
16,2
17,1
18,4.33
19,6
20,2
21,7
22,4
23,4.67
24,6
25,4.33
26,4.34
27,6
28,5.33
29,3.02
30,1
31,4.33
32,7
33,5
34,1.33
35,3
36,3.33
37,2.66
38,3.33
39,4
40,5
41,10
42,9
43,4.33
44,4
45,1
46,0
47,7.34
48,7.34
49,3.33
50,7
51,6
52,7
53,1
54,7
55,5
56,5
57,3
58,7
59,6.34
60,3.34
61,4
62,5.34
63,3.34
64,3
65,4
66,4.34
67,1
68,6.68
69,6
70,6.34
71,2.31
72,4.34
73,4
74,2.68
75,8.68
76,8
77,4
78,3
79,6
80,3.34
81,6.34
82,5.68
83,4
84,2.34
85,4
86,2.67
87,4
88,3
89,5.34
90,4.34
91,2
92,1
93,3
94,2
95,2
96,6.34
97,4.34
98,6
99,3.33
100,6
101,7.02
102,3
103,1.34
104,4.34
105,2
106,5.34
107,7
108,7.34
109,0
110,1.34
111,5.34
112,6.34
113,2
114,3
115,4.34
116,4
117,1.34
118,3.33
119,4.34
120,0
121,7.34
122,4
123,1.67
124,3
125,7.34
126,3.33
127,2
128,2
129,5
130,2
131,4.34
132,3.68
133,1
134,2.34
135,5.34
136,2.34
137,3.34
138,8.34
139,1
140,2
141,3.68
142,5
143,3
144,2
145,2.68
146,0
147,1.34
148,4
149,3.02
150,5.67
151,1
152,4
153,3
154,1
155,0.34
156,5
157,9
158,1
159,6.33
160,8.68
161,4.34
162,4.34
163,1
164,4
165,0.34
166,4.34
167,5
168,2
169,3
170,7.34
171,6
172,4
173,2.34
174,3
175,8
176,3
177,4.34
178,0.34
179,0
180,6
181,4.34
182,3
183,2.33
184,4.34
185,3.34
186,4
187,2
188,6.34
189,3
190,2.33
191,2
192,8.34
193,2
194,5
195,3.34
196,4
197,2
198,9
199,7.33
200,3
201,3
202,5
203,2.67
204,5.34
205,5
206,4
207,3
208,2
209,2.34
210,0.68
211,3
212,2
213,5
214,5
215,4
216,2
217,6
218,3.34
219,5.02
220,4
221,4
222,8
223,0
224,1.34
225,4
226,4.34
227,8
228,0.34
229,4.34
230,11.34
231,5.34
232,3
233,6.34
234,3
235,3
236,4.01
237,2.34
238,3.34
239,2.34
240,6.34
241,3.68
242,0
243,3.34
244,2.34
245,7
246,5.68
247,4
248,5.34
249,2
250,1
251,6.34
252,4.34
253,0
254,2.68
255,3
256,1.34
257,1.34
258,4
259,2.34
260,3
261,2
262,4.34
263,1
264,3.34
265,3
266,6
267,4.68
268,4
269,4
270,0.34
271,7
272,10
273,2.34
274,2
275,4.33
276,4.68
277,2
278,5.34
279,3
280,3.68
281,1
282,4.34
283,3.34
284,3
285,1.68
286,3
287,1.33
288,6.775
289,3
290,4
291,3.33
292,3.34
293,2.34
294,3.33
295,1.34
296,3.67
297,2.33
298,3.34
299,8.34
300,4
301,5
302,0
303,2
304,2.33
305,4
306,7
307,6.33
308,0
309,6
310,6
311,12
312,3.34
313,1
314,8
315,3
316,8
317,5.34
318,4.33
319,2
320,9
321,2.67
322,1.34
323,4
324,1.34
325,6
326,4
327,4
328,5.36
329,3
330,7
331,3.02
332,3
