,id,datum,n02ba,year,ATC Classification,Drug Classification
0,2607,2014-02-01,3.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
1,2608,2014-03-01,4.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
2,2609,2014-04-01,6.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
3,2610,2014-05-01,7.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
4,2611,2014-06-01,4.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
5,2612,2014-07-01,0.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
6,2613,2014-08-01,10.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
7,2614,2014-09-01,8.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
8,2615,2014-10-01,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
9,2616,2014-11-01,10.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
10,2617,2014-12-01,2.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
11,2618,2014-01-13,6.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
12,2619,2014-01-14,12.3,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
13,2620,2014-01-15,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
14,2621,2014-01-16,4.3,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
15,2622,2014-01-17,8.3,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
16,2623,2014-01-18,5.8,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
17,2624,2014-01-19,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
18,2625,2014-01-20,3.3,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
19,2626,2014-01-21,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
20,2627,2014-01-22,7.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
21,2628,2014-01-23,5.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
22,2629,2014-01-24,7.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
23,2630,2014-01-25,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
24,2631,2014-01-26,0.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
25,2632,2014-01-27,1.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
26,2633,2014-01-28,2.8,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
27,2634,2014-01-29,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
28,2635,2014-01-30,2.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
29,2636,2014-01-31,7.1,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
30,2637,2014-01-02,5.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
31,2638,2014-02-02,0.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
32,2639,2014-03-02,8.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
33,2640,2014-04-02,7.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
34,2641,2014-05-02,6.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
35,2642,2014-06-02,3.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
36,2643,2014-07-02,11.7,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
37,2644,2014-08-02,14.4,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
38,2645,2014-09-02,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
39,2646,2014-10-02,8.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
40,2647,2014-11-02,13.3,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
41,2648,2014-12-02,9.1,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
42,2649,2014-02-13,10.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
43,2650,2014-02-14,3.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
44,2651,2014-02-15,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
45,2652,2014-02-16,1.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
46,2653,2014-02-17,12.7,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
47,2654,2014-02-18,6.1,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
48,2655,2014-02-19,5.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
49,2656,2014-02-20,3.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
50,2657,2014-02-21,9.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
51,2658,2014-02-22,5.7,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
52,2659,2014-02-23,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
53,2660,2014-02-24,5.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
54,2661,2014-02-25,11.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
55,2662,2014-02-26,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
56,2663,2014-02-27,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
57,2664,2014-02-28,5.3,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
58,2665,2014-01-03,11.355,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
59,2666,2014-02-03,2.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
60,2667,2014-03-03,1.6,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
61,2668,2014-04-03,7.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
62,2669,2014-05-03,3.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
63,2670,2014-06-03,5.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
64,2671,2014-07-03,9.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
65,2672,2014-08-03,1.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
66,2673,2014-09-03,4.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
67,2674,2014-10-03,3.8,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
68,2675,2014-11-03,7.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
69,2676,2014-12-03,6.5,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
70,2677,2014-03-13,5.3,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
71,2678,2014-03-14,1.2,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
72,2679,2014-03-15,11.0,2014,"Salicylic acid and derivatives, analgesics and antipyretics",Nervous System Drugs
