,id,datum,m01ab,m01ae,n02ba,n02be,n05b,n05c,r03,r06,year,Drug Classification
0,2607,2014-02-01,0.0,3.67,3.4,32.4,7.0,0.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
1,2608,2014-03-01,8.0,4.0,4.4,50.6,16.0,0.0,20.0,4.0,2014,Musculo-Skeletal System Drugs
2,2609,2014-04-01,2.0,1.0,6.5,61.85,10.0,0.0,9.0,1.0,2014,Musculo-Skeletal System Drugs
3,2610,2014-05-01,4.0,3.0,7.0,41.1,8.0,0.0,3.0,0.0,2014,Musculo-Skeletal System Drugs
4,2611,2014-06-01,5.0,1.0,4.5,21.7,16.0,2.0,6.0,2.0,2014,Musculo-Skeletal System Drugs
5,2612,2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
6,2613,2014-08-01,5.33,3.0,10.5,26.4,19.0,1.0,10.0,0.0,2014,Musculo-Skeletal System Drugs
7,2614,2014-09-01,7.0,1.68,8.0,25.0,16.0,0.0,3.0,2.0,2014,Musculo-Skeletal System Drugs
8,2615,2014-10-01,5.0,2.0,2.0,53.3,15.0,2.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
9,2616,2014-11-01,5.0,4.34,10.4,52.3,14.0,0.0,1.0,0.2,2014,Musculo-Skeletal System Drugs
10,2617,2014-12-01,2.0,0.66,2.5,12.0,8.0,0.0,1.0,1.0,2014,Musculo-Skeletal System Drugs
11,2618,2014-01-13,7.34,7.66,6.2,52.0,9.0,0.0,7.0,1.0,2014,Musculo-Skeletal System Drugs
12,2619,2014-01-14,6.0,1.33,12.3,33.7,6.0,1.0,0.0,2.0,2014,Musculo-Skeletal System Drugs
13,2620,2014-01-15,4.0,2.34,5.0,26.7,12.0,2.0,3.0,3.0,2014,Musculo-Skeletal System Drugs
14,2621,2014-01-16,6.0,2.0,4.3,28.3,19.0,1.0,5.0,0.0,2014,Musculo-Skeletal System Drugs
15,2622,2014-01-17,2.0,3.68,8.3,20.4,15.0,0.0,6.0,3.0,2014,Musculo-Skeletal System Drugs
16,2623,2014-01-18,1.0,5.33,5.8,43.2,15.0,4.0,7.0,2.0,2014,Musculo-Skeletal System Drugs
17,2624,2014-01-19,4.33,4.0,4.0,14.1,4.0,0.0,1.0,1.0,2014,Musculo-Skeletal System Drugs
18,2625,2014-01-20,6.0,3.34,3.3,11.9,18.0,2.0,12.0,3.0,2014,Musculo-Skeletal System Drugs
19,2626,2014-01-21,2.0,3.34,4.0,42.0,15.0,2.0,0.0,1.0,2014,Musculo-Skeletal System Drugs
20,2627,2014-01-22,7.0,3.0,7.0,18.1,10.0,0.0,5.0,2.0,2014,Musculo-Skeletal System Drugs
21,2628,2014-01-23,4.0,4.67,5.2,26.2,2.0,3.0,1.0,3.0,2014,Musculo-Skeletal System Drugs
22,2629,2014-01-24,4.67,7.34,7.0,19.6,13.0,1.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
23,2630,2014-01-25,6.0,9.0,5.0,37.8,18.0,0.0,5.0,1.0,2014,Musculo-Skeletal System Drugs
24,2631,2014-01-26,4.33,1.68,0.0,24.0,4.0,0.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
25,2632,2014-01-27,4.34,4.67,1.2,23.6,17.0,2.0,1.0,3.0,2014,Musculo-Skeletal System Drugs
26,2633,2014-01-28,6.0,3.34,2.8,13.38,22.0,5.0,1.0,5.0,2014,Musculo-Skeletal System Drugs
27,2634,2014-01-29,5.33,4.0,2.0,14.0,10.0,1.0,1.0,2.0,2014,Musculo-Skeletal System Drugs
28,2635,2014-01-30,3.02,1.34,2.4,25.5,7.0,1.0,3.0,2.0,2014,Musculo-Skeletal System Drugs
29,2636,2014-01-31,1.0,2.68,7.1,26.9,9.0,0.0,1.0,0.0,2014,Musculo-Skeletal System Drugs
30,2637,2014-01-02,4.33,4.32,5.0,43.0,13.0,1.0,14.0,0.0,2014,Musculo-Skeletal System Drugs
31,2638,2014-02-02,7.0,3.0,0.2,13.5,6.0,2.0,8.0,0.0,2014,Musculo-Skeletal System Drugs
32,2639,2014-03-02,5.0,1.0,8.5,32.4,16.0,1.0,1.0,0.0,2014,Musculo-Skeletal System Drugs
33,2640,2014-04-02,1.33,3.0,7.0,30.6,8.0,1.0,17.0,2.0,2014,Musculo-Skeletal System Drugs
34,2641,2014-05-02,3.0,4.02,6.2,32.4,15.0,1.0,1.0,1.0,2014,Musculo-Skeletal System Drugs
35,2642,2014-06-02,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0,2014,Musculo-Skeletal System Drugs
36,2643,2014-07-02,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0,2014,Musculo-Skeletal System Drugs
37,2644,2014-08-02,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0,2014,Musculo-Skeletal System Drugs
38,2645,2014-09-02,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0,2014,Musculo-Skeletal System Drugs
39,2646,2014-10-02,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,2014,Musculo-Skeletal System Drugs
